"time","S","I","R"
0,999,1,0
1,995.193218712801,4.24532966333676,0.561451623861801
2,979.307219766795,17.7649285151721,2.92785171803324
3,917.315739514136,70.1396746523461,12.5445858335177
4,726.721515682374,226.482745412807,46.7957389048192
5,403.101608889507,463.432701627985,133.465689482508
6,162.912166269173,570.390378514573,266.697455216254
7,63.0881435402456,530.703349299708,406.208507160047
8,27.4940545523311,444.15581936646,528.350126081209
9,13.9260078359008,357.692815759032,628.381176405067
10,8.08976179660332,283.652895367119,708.257342836278
11,5.26718155489624,223.372065145457,771.360753299646
12,3.75924653152878,175.280561636713,820.960191831758
13,2.8858787084428,137.273252802446,859.840868489112
14,2.34643170237593,107.381343123368,890.272225174257
15,1.99587940827694,83.9362176223109,914.067902969412
16,1.75880485067043,65.5777310008895,932.66346414844
17,1.59338153762993,51.2173038030838,947.189314659287
18,1.47509433364507,39.9920313862688,958.532874280086
19,1.38887845038602,31.2216210754697,967.389500474144
20,1.32509204636947,24.3715152844149,974.303392669216
21,1.27734565180678,19.0225512310578,979.700103117136
22,1.2412780419172,14.8465053361845,983.912216621898
23,1.2138382233936,11.5866109524957,987.199550824111
24,1.19284602714633,9.04213179162432,989.76502218123
25,1.17671667481187,7.05621238291305,991.767070942275
26,1.16428161248612,5.50632641169289,993.329391975821
27,1.15466930276578,4.29678943788335,994.548541259351
28,1.14722369948684,3.35289538687166,995.499880913642
29,1.14144710370628,2.61632131103702,996.242231585257
30,1.13695976100504,2.04154221908576,996.821498019909
